id,descripcion,categoria,unidad
1,Reservas internacionales,Principales Variables,En millones de USD
4,Tipo de cambio minorista (promedio vendedor),Principales Variables,Pesos argentinos por dólar estadounidense
5,Tipo de cambio mayorista de referencia,Principales Variables,Pesos argentinos por dólar estadounidense
7,Tasa de interés BADLAR de bancos privados,Principales Variables,En porcentaje nominal anual
8,Tasa de interés TM20 de bancos privados ,Principales Variables,En porcentaje nominal anual
11,Tasa de interés de préstamos entre entidades financiera privadas (BAIBAR)  ,Principales Variables,En porcentaje nominal anual
12,Tasa de interés de depósitos a 30 días de plazo en entidades financieras ,Principales Variables,En porcentaje nominal anual
13,Tasa de interés por adelantos en cuenta corriente ,Principales Variables,En porcentaje nominal anual
14,Tasa de interés de préstamos personales ,Principales Variables,En porcentaje nominal anual
15,Base monetaria,Principales Variables,En millones de ARS
16,Circulación monetaria ,Principales Variables,En millones de ARS
17,Billetes y monedas en poder del público,Principales Variables,En millones de ARS
18,Efectivo en entidades financieras.,Principales Variables,En millones de ARS
19,Depósitos de las entidades financieras en cuenta corriente en el BCRA,Principales Variables,En millones de ARS
21,Depósitos en efectivo en las entidades financieras ,Principales Variables,En millones de ARS
22,Depósitos en efectivo en las entidades financieras en cuentas corrientes(neto de utilización FUCO),Principales Variables,En millones de ARS
23,Depósitos en efectivo en las entidades financieras en cajas de ahorro,Principales Variables,En millones de ARS
24,Depósitos a plazo en efectivo en las entidades financieras (incluye inversiones y excluye CEDROs) ,Principales Variables,En millones de ARS
25,Variación interanual del promedio móvil de 30 días del M2 privado.,Principales Variables,En porcentaje
26,Préstamos de las entidades financieras al sector privado,Principales Variables,En millones de ARS
27,Inflación mensual.,Principales Variables,En porcentaje
28,Inflación interanual.,Principales Variables,En porcentaje
29,Mediana de la variación interanual próximos 12 meses del índice de precios al consumidor del relevamiento de expectativas de mercado,Principales Variables,En porcentaje
30,Coeficiente de estabilización de referencia (base 2.2.02=1),Principales Variables,Índice base 2.2.02=1
31,Unidad de valor adquisitivo (base 31.3.16=14.05),Principales Variables,En ARS
32,Unidad de vivienda (base 31.3.16=14.05),Principales Variables,En ARS
35,Tasa de interés BADLAR de bancos privados,Principales Variables,En porcentaje efectivo anual
40,Índice para Contratos de Locación (base 30.6.20=1),Principales Variables,Índice base 30.6.20=1
43,Tasa de interés Comunicado P 14.290 (Uso de justicia),Principales Variables,En porcentaje
44,Tasa de interes TAMAR de bancos privados ,Principales Variables,En porcentaje nominal anual
45,Tasa de interés TAMAR de bancos privados,Principales Variables,En porcentaje efectivo anual
46,Total de factores de explicación de la base monetaria,Series.xlsm,En millones de ARS
47,Efecto monetario de las compras netas de divisas al sector privado y otros ,Series.xlsm,En millones de ARS
48,Efecto monetario de las compras netas de divisas al tesoro nacional ,Series.xlsm,En millones de ARS
49,Efecto monetario de los adelantos transitorios al tesoro nacional,Series.xlsm,En millones de ARS
50,Efecto monetario de las transferencia de utilidades al tesoro nacional ,Series.xlsm,En millones de ARS
51,Efecto monetario del resto de operaciones con el tesoro nacional,Series.xlsm,En millones de ARS
52,Efecto monetario de las operaciones de pases ,Series.xlsm,En millones de ARS
53,Efecto monetario de las LELIQ y NOTALQ ,Series.xlsm,En millones de ARS
54,Efecto monetario de los redescuentos y adelantos ,Series.xlsm,En millones de ARS
55,"Efecto monetario de los intereses, primas y remuneración de cuentas corrientes asociados a op. de pases, LELIQ, NOTALQ, redescuentos y adel. ",Series.xlsm,En millones de ARS
56,Efecto monetario de las LEBAC y NOBAC ,Series.xlsm,En millones de ARS
57,Efecto monetario del rescate de cuasimonedas ,Series.xlsm,En millones de ARS
58,Efecto monetario de las operaciones con letras fiscales de liquidez ,Series.xlsm,En millones de ARS
59,Efecto monetario de otras operaciones que explican la variación de la base monetaria ,Series.xlsm,En millones de ARS
60,Billetes y monedas en poder del público ,Series.xlsm,En millones de ARS
61,Billetes y monedas en entidades financieras ,Series.xlsm,En millones de ARS
62,Cheques cancelatorios ,Series.xlsm,En millones de ARS
63,Cuentas corrientes en pesos en el BCRA,Series.xlsm,En millones de ARS
64,Base monetaria,Series.xlsm,En millones de ARS
65,Cuasimonedas ,Series.xlsm,En millones de ARS
66,Base monetaria más cuasimonedas ,Series.xlsm,En millones de ARS
67,Billetes y monedas en poder del público ,Series.xlsm,En millones de ARS
68,Billetes y monedas en entidades financieras ,Series.xlsm,En millones de ARS
69,Cheques cancelatorios ,Series.xlsm,En millones de ARS
70,Cuentas corrientes en pesos en el BCRA ,Series.xlsm,En millones de ARS
71,Base monetaria,Series.xlsm,En millones de ARS
72,Cuasimonedas ,Series.xlsm,En millones de ARS
73,Base monetaria más cuasimonedas,Series.xlsm,En millones de ARS
74,Reservas internacionales (excluidas asignaciones deg 2009),Series.xlsm,En millones de USD
75,"Oro, divisas, colocaciones a plazo y otros activos de reserva",Series.xlsm,En millones de USD
