indicador,pais,anio,valor
NY.GDP.PCAP.KD,ARG,2025,13287.1159527489
NY.GDP.PCAP.KD,ARG,2024,12774.3506596628
NY.GDP.PCAP.KD,ARG,2023,12993.0928872416
NY.GDP.PCAP.KD,ARG,2022,13276.8232110189
NY.GDP.PCAP.KD,ARG,2021,12549.2811699342
NY.GDP.PCAP.KD,ARG,2020,11393.0505957877
NY.GDP.PCAP.KD,ARG,2019,12706.3978108968
NY.GDP.PCAP.KD,ARG,2018,13058.3285449954
NY.GDP.PCAP.KD,ARG,2017,13520.1129846159
NY.GDP.PCAP.KD,ARG,2016,13265.8860639123
NY.GDP.PCAP.KD,ARG,2015,13679.6264980954
NY.GDP.PCAP.KD,ARG,2014,13456.1319159151
NY.GDP.PCAP.KD,ARG,2013,13946.0950832252
NY.GDP.PCAP.KD,ARG,2012,13754.4254235596
NY.GDP.PCAP.KD,ARG,2011,14040.6189124444
NY.GDP.PCAP.KD,ARG,2010,13387.1553748458
NY.GDP.PCAP.KD,ARG,2009,12285.3784651865
NY.GDP.PCAP.KD,ARG,2008,13197.3570267029
NY.GDP.PCAP.KD,ARG,2007,12811.9021206578
NY.GDP.PCAP.KD,ARG,2006,11870.2791559298
NY.GDP.PCAP.KD,ARG,2005,11099.7509190602
NY.GDP.PCAP.KD,ARG,2004,10302.4465316428
NY.GDP.PCAP.KD,ARG,2003,9545.53194119994
NY.GDP.PCAP.KD,ARG,2002,8861.56199282278
NY.GDP.PCAP.KD,ARG,2001,10051.9448463043
NY.GDP.PCAP.KD,ARG,2000,10631.6503639029
NY.GDP.PCAP.KD,ARG,1999,10838.3199346387
NY.GDP.PCAP.KD,ARG,1998,11348.2022124673
NY.GDP.PCAP.KD,ARG,1997,11056.6881331002
NY.GDP.PCAP.KD,ARG,1996,10352.1400002191
NY.GDP.PCAP.KD,ARG,1995,9934.10776139515
NY.GDP.PCAP.KD,ARG,1994,10359.8927204871
NY.GDP.PCAP.KD,ARG,1993,9920.67358582437
NY.GDP.PCAP.KD,ARG,1992,9293.18692251748
NY.GDP.PCAP.KD,ARG,1991,8729.82318518892
NY.GDP.PCAP.KD,ARG,1990,8115.09386370753
NY.GDP.PCAP.KD,BRA,2025,9747.99557762692
NY.GDP.PCAP.KD,BRA,2024,9566.74518687619
NY.GDP.PCAP.KD,BRA,2023,9288.02701470069
NY.GDP.PCAP.KD,BRA,2022,9032.08481566299
NY.GDP.PCAP.KD,BRA,2021,8799.22945810901
NY.GDP.PCAP.KD,BRA,2020,8435.01143254978
NY.GDP.PCAP.KD,BRA,2019,8771.44051292177
NY.GDP.PCAP.KD,BRA,2018,8722.33630317935
NY.GDP.PCAP.KD,BRA,2017,8628.25308908043
NY.GDP.PCAP.KD,BRA,2016,8577.84376650911
NY.GDP.PCAP.KD,BRA,2015,8936.19661712113
NY.GDP.PCAP.KD,BRA,2014,9338.34278278114
NY.GDP.PCAP.KD,BRA,2013,9366.73932434359
NY.GDP.PCAP.KD,BRA,2012,9167.49923929815
NY.GDP.PCAP.KD,BRA,2011,9067.99316348047
NY.GDP.PCAP.KD,BRA,2010,8792.63436120342
NY.GDP.PCAP.KD,BRA,2009,8246.09706995094
NY.GDP.PCAP.KD,BRA,2008,8330.76459841304
NY.GDP.PCAP.KD,BRA,2007,8003.25413096047
NY.GDP.PCAP.KD,BRA,2006,7622.04007133264
NY.GDP.PCAP.KD,BRA,2005,7409.56913232718
NY.GDP.PCAP.KD,BRA,2004,7258.78185165912
NY.GDP.PCAP.KD,BRA,2003,6941.4404574508
NY.GDP.PCAP.KD,BRA,2002,6944.62337495755
NY.GDP.PCAP.KD,BRA,2001,6823.03396999891
NY.GDP.PCAP.KD,BRA,2000,6817.784240857
NY.GDP.PCAP.KD,BRA,1999,6621.63676249539
NY.GDP.PCAP.KD,BRA,1998,6687.49523550242
NY.GDP.PCAP.KD,BRA,1997,6764.85842091319
NY.GDP.PCAP.KD,BRA,1996,6640.7270065575
NY.GDP.PCAP.KD,BRA,1995,6596.33572674819
NY.GDP.PCAP.KD,BRA,1994,6427.16901943704
NY.GDP.PCAP.KD,BRA,1993,6167.46092178931
NY.GDP.PCAP.KD,BRA,1992,5973.98285622586
NY.GDP.PCAP.KD,BRA,1991,6107.64883675747
NY.GDP.PCAP.KD,BRA,1990,6149.86788926381
NY.GDP.PCAP.KD,CAN,2025,45418.1292662699
NY.GDP.PCAP.KD,CAN,2024,45061.3864587285
NY.GDP.PCAP.KD,CAN,2023,45495.5100892605
NY.GDP.PCAP.KD,CAN,2022,45883.0058941892
NY.GDP.PCAP.KD,CAN,2021,44639.2381171993
NY.GDP.PCAP.KD,CAN,2020,42366.1710935265
NY.GDP.PCAP.KD,CAN,2019,45100.336805859
NY.GDP.PCAP.KD,CAN,2018,44907.3887994469
NY.GDP.PCAP.KD,CAN,2017,44339.4332217878
NY.GDP.PCAP.KD,CAN,2016,43551.3863558236
NY.GDP.PCAP.KD,CAN,2015,43594.2379080706
NY.GDP.PCAP.KD,CAN,2014,43643.2794910996
NY.GDP.PCAP.KD,CAN,2013,42851.2135876232
NY.GDP.PCAP.KD,CAN,2012,42320.6856530018
NY.GDP.PCAP.KD,CAN,2011,42043.6842044008
NY.GDP.PCAP.KD,CAN,2010,41164.3812486578
NY.GDP.PCAP.KD,CAN,2009,40376.4559330928
NY.GDP.PCAP.KD,CAN,2008,42067.610977795
NY.GDP.PCAP.KD,CAN,2007,42106.9147186165
NY.GDP.PCAP.KD,CAN,2006,41663.5541588166
NY.GDP.PCAP.KD,CAN,2005,41006.264144024
NY.GDP.PCAP.KD,CAN,2004,40108.7990262916
NY.GDP.PCAP.KD,CAN,2003,39270.0629084669
NY.GDP.PCAP.KD,CAN,2002,38921.7064054514
NY.GDP.PCAP.KD,CAN,2001,38200.4945025395
NY.GDP.PCAP.KD,CAN,2000,37906.89821012
NY.GDP.PCAP.KD,CAN,1999,36391.5718964607
NY.GDP.PCAP.KD,CAN,1998,34894.6484928404
NY.GDP.PCAP.KD,CAN,1997,33867.0419274091
NY.GDP.PCAP.KD,CAN,1996,32801.3348171586
NY.GDP.PCAP.KD,CAN,1995,32595.4842690909
NY.GDP.PCAP.KD,CAN,1994,32074.1884806299
NY.GDP.PCAP.KD,CAN,1993,31032.785763879
NY.GDP.PCAP.KD,CAN,1992,30563.4095229714
NY.GDP.PCAP.KD,CAN,1991,30654.3639368973
NY.GDP.PCAP.KD,CAN,1990,31700.5781154607
NY.GDP.PCAP.KD,CHE,2025,93327.5937403044
NY.GDP.PCAP.KD,CHE,2024,93018.3768706697
NY.GDP.PCAP.KD,CHE,2023,92947.9424441568
NY.GDP.PCAP.KD,CHE,2022,93360.440112464
NY.GDP.PCAP.KD,CHE,2021,90924.9256769825
NY.GDP.PCAP.KD,CHE,2020,86293.9183441155
NY.GDP.PCAP.KD,CHE,2019,88932.4119306425
NY.GDP.PCAP.KD,CHE,2018,88581.0826935584
NY.GDP.PCAP.KD,CHE,2017,86362.360972862
NY.GDP.PCAP.KD,CHE,2016,85951.2234148345
NY.GDP.PCAP.KD,CHE,2015,85265.06205193
NY.GDP.PCAP.KD,CHE,2014,85004.8134534
NY.GDP.PCAP.KD,CHE,2013,83914.0245080812
NY.GDP.PCAP.KD,CHE,2012,83354.0207485188
NY.GDP.PCAP.KD,CHE,2011,83307.3180998465
NY.GDP.PCAP.KD,CHE,2010,83069.4276373455
NY.GDP.PCAP.KD,CHE,2009,81288.642957612
NY.GDP.PCAP.KD,CHE,2008,83934.7657221246
NY.GDP.PCAP.KD,CHE,2007,82909.1358291459
NY.GDP.PCAP.KD,CHE,2006,80448.9696781612
NY.GDP.PCAP.KD,CHE,2005,77741.3436104704
NY.GDP.PCAP.KD,CHE,2004,75997.4453154761
NY.GDP.PCAP.KD,CHE,2003,74592.0284690955
NY.GDP.PCAP.KD,CHE,2002,75361.6941607385
NY.GDP.PCAP.KD,CHE,2001,75646.1781144131
NY.GDP.PCAP.KD,CHE,2000,74933.2770077552
NY.GDP.PCAP.KD,CHE,1999,72713.7068420544
NY.GDP.PCAP.KD,CHE,1998,71854.1176863899
NY.GDP.PCAP.KD,CHE,1997,70121.2926450719
NY.GDP.PCAP.KD,CHE,1996,68846.2811295722
NY.GDP.PCAP.KD,CHE,1995,68765.8004895745
NY.GDP.PCAP.KD,CHE,1994,66503.9311877673
NY.GDP.PCAP.KD,CHE,1993,64448.1064296646
NY.GDP.PCAP.KD,CHE,1992,66409.491461386
NY.GDP.PCAP.KD,CHE,1991,67932.7854592116
NY.GDP.PCAP.KD,CHE,1990,69584.5767626374
NY.GDP.PCAP.KD,CHL,2025,14904.6435509776
NY.GDP.PCAP.KD,CHL,2024,14616.9287938028
NY.GDP.PCAP.KD,CHL,2023,14294.7106635595
NY.GDP.PCAP.KD,CHL,2022,14275.4094646211
NY.GDP.PCAP.KD,CHL,2021,14056.251601955
NY.GDP.PCAP.KD,CHL,2020,12680.7761524378
NY.GDP.PCAP.KD,CHL,2019,13631.9284885172
NY.GDP.PCAP.KD,CHL,2018,13763.0068844795
NY.GDP.PCAP.KD,CHL,2017,13473.3458532934
NY.GDP.PCAP.KD,CHL,2016,13505.097711133
NY.GDP.PCAP.KD,CHL,2015,13433.9202987032
NY.GDP.PCAP.KD,CHL,2014,13285.9540361192
